split,orig_split,weather,sequence,frame,rgb_path,nir_path,mask_path
train,train,FOG,81,00000003,IDDAW/train/FOG/rgb/81/00000003_rgb.png,IDDAW/train/FOG/nir/81/00000003_nir.png,IDDAW/train/FOG/gtSeg/81/00000003_mask.json
train,train,FOG,81,00000011,IDDAW/train/FOG/rgb/81/00000011_rgb.png,IDDAW/train/FOG/nir/81/00000011_nir.png,IDDAW/train/FOG/gtSeg/81/00000011_mask.json
train,train,FOG,81,00000012,IDDAW/train/FOG/rgb/81/00000012_rgb.png,IDDAW/train/FOG/nir/81/00000012_nir.png,IDDAW/train/FOG/gtSeg/81/00000012_mask.json
train,train,FOG,81,00000024,IDDAW/train/FOG/rgb/81/00000024_rgb.png,IDDAW/train/FOG/nir/81/00000024_nir.png,IDDAW/train/FOG/gtSeg/81/00000024_mask.json
train,train,FOG,81,00000014,IDDAW/train/FOG/rgb/81/00000014_rgb.png,IDDAW/train/FOG/nir/81/00000014_nir.png,IDDAW/train/FOG/gtSeg/81/00000014_mask.json
train,train,FOG,81,00000005,IDDAW/train/FOG/rgb/81/00000005_rgb.png,IDDAW/train/FOG/nir/81/00000005_nir.png,IDDAW/train/FOG/gtSeg/81/00000005_mask.json
train,train,FOG,81,00000007,IDDAW/train/FOG/rgb/81/00000007_rgb.png,IDDAW/train/FOG/nir/81/00000007_nir.png,IDDAW/train/FOG/gtSeg/81/00000007_mask.json
train,train,FOG,81,00000000,IDDAW/train/FOG/rgb/81/00000000_rgb.png,IDDAW/train/FOG/nir/81/00000000_nir.png,IDDAW/train/FOG/gtSeg/81/00000000_mask.json
train,train,FOG,81,00000017,IDDAW/train/FOG/rgb/81/00000017_rgb.png,IDDAW/train/FOG/nir/81/00000017_nir.png,IDDAW/train/FOG/gtSeg/81/00000017_mask.json
train,train,FOG,81,00000023,IDDAW/train/FOG/rgb/81/00000023_rgb.png,IDDAW/train/FOG/nir/81/00000023_nir.png,IDDAW/train/FOG/gtSeg/81/00000023_mask.json
train,train,FOG,81,00000020,IDDAW/train/FOG/rgb/81/00000020_rgb.png,IDDAW/train/FOG/nir/81/00000020_nir.png,IDDAW/train/FOG/gtSeg/81/00000020_mask.json
train,train,FOG,81,00000016,IDDAW/train/FOG/rgb/81/00000016_rgb.png,IDDAW/train/FOG/nir/81/00000016_nir.png,IDDAW/train/FOG/gtSeg/81/00000016_mask.json
train,train,FOG,81,00000010,IDDAW/train/FOG/rgb/81/00000010_rgb.png,IDDAW/train/FOG/nir/81/00000010_nir.png,IDDAW/train/FOG/gtSeg/81/00000010_mask.json
train,train,FOG,81,00000004,IDDAW/train/FOG/rgb/81/00000004_rgb.png,IDDAW/train/FOG/nir/81/00000004_nir.png,IDDAW/train/FOG/gtSeg/81/00000004_mask.json
train,train,FOG,81,00000018,IDDAW/train/FOG/rgb/81/00000018_rgb.png,IDDAW/train/FOG/nir/81/00000018_nir.png,IDDAW/train/FOG/gtSeg/81/00000018_mask.json
train,train,FOG,81,00000022,IDDAW/train/FOG/rgb/81/00000022_rgb.png,IDDAW/train/FOG/nir/81/00000022_nir.png,IDDAW/train/FOG/gtSeg/81/00000022_mask.json
train,train,FOG,81,00000021,IDDAW/train/FOG/rgb/81/00000021_rgb.png,IDDAW/train/FOG/nir/81/00000021_nir.png,IDDAW/train/FOG/gtSeg/81/00000021_mask.json
train,train,FOG,81,00000001,IDDAW/train/FOG/rgb/81/00000001_rgb.png,IDDAW/train/FOG/nir/81/00000001_nir.png,IDDAW/train/FOG/gtSeg/81/00000001_mask.json
train,train,FOG,81,00000019,IDDAW/train/FOG/rgb/81/00000019_rgb.png,IDDAW/train/FOG/nir/81/00000019_nir.png,IDDAW/train/FOG/gtSeg/81/00000019_mask.json
train,train,FOG,81,00000002,IDDAW/train/FOG/rgb/81/00000002_rgb.png,IDDAW/train/FOG/nir/81/00000002_nir.png,IDDAW/train/FOG/gtSeg/81/00000002_mask.json
train,train,FOG,81,00000013,IDDAW/train/FOG/rgb/81/00000013_rgb.png,IDDAW/train/FOG/nir/81/00000013_nir.png,IDDAW/train/FOG/gtSeg/81/00000013_mask.json
train,train,FOG,81,00000008,IDDAW/train/FOG/rgb/81/00000008_rgb.png,IDDAW/train/FOG/nir/81/00000008_nir.png,IDDAW/train/FOG/gtSeg/81/00000008_mask.json
train,train,FOG,81,00000006,IDDAW/train/FOG/rgb/81/00000006_rgb.png,IDDAW/train/FOG/nir/81/00000006_nir.png,IDDAW/train/FOG/gtSeg/81/00000006_mask.json
train,train,FOG,81,00000015,IDDAW/train/FOG/rgb/81/00000015_rgb.png,IDDAW/train/FOG/nir/81/00000015_nir.png,IDDAW/train/FOG/gtSeg/81/00000015_mask.json
